obsid,class,subclass,snrg,teff,logg,feh,ra,dec,z
974609192,STAR,F0,33.0099983215332,6249.259765625,4.139999866485596,-1.4170000553131104,173.3917827,-3.5902428,0.0006258997018449
966415186,STAR,F2,41.45000076293945,5942.169921875,4.27400016784668,-0.4390000104904175,156.4037544,18.109906,6.784690049244091e-05
991414160,STAR,F9,153.6300048828125,4983.39013671875,2.470999956130981,-0.6690000295639038,149.79932917,-2.81286056,0.0001172143965959
1009915055,STAR,F8,149.1199951171875,6131.919921875,4.228000164031982,-0.0439999997615814,259.0414636,33.4185524,-1.394300034007756e-05
998501138,STAR,F2,254.33999633789065,6177.9501953125,4.198999881744385,-0.1459999978542328,265.539077,31.006289,8.052239718381315e-05
977505112,STAR,F2,89.47000122070312,5839.85009765625,4.063000202178955,-0.7620000243186951,181.4182584,-0.7492498,3.936099801649107e-06
1010405107,STAR,F5,115.37999725341795,6367.8798828125,4.083000183105469,-0.061999998986721,273.2260224,29.1495076,-0.0001668821059865
1002416134,STAR,F9,118.0500030517578,5603.93017578125,4.466000080108643,-0.1360000073909759,232.488017,56.549217,-0.000115579998237
989314149,STAR,F5,11.529999732971191,6067.0498046875,4.089000225067139,-1.131999969482422,205.6089198,-1.7516747,0.0001890308049041
950808245,STAR,F9,471.7200012207031,5703.830078125,4.159999847412109,0.2960000038146972,133.0016138,16.9625945,6.737990042893216e-05
995109031,STAR,F2,84.58000183105469,5966.10986328125,4.150000095367432,-0.4560000002384186,154.726586,32.068499,-3.982759881182574e-05
994307169,STAR,F7,158.82000732421875,6110.85986328125,4.172999858856201,-0.335999995470047,172.0453442,0.2363791,-0.0002169834042433
950516193,STAR,F0,18.020000457763672,6858.31005859375,4.514999866485596,-0.5550000071525574,55.193367,41.853841,-5.1769100537057966e-05
998614068,STAR,F6,114.54000091552734,6386.64013671875,4.311999797821045,0.0879999995231628,130.0330424,12.4896042,9.800110274227336e-05
948604165,STAR,F9,15.829999923706056,5535.9599609375,3.733000040054321,0.0900000035762786,131.6774566,17.4070244,-1.7078500604839064e-05
989005194,STAR,F0,110.0999984741211,6825.14990234375,4.245999813079834,-0.1040000021457672,107.708415,-5.305606,-4.766630081576295e-05
1000405117,STAR,F0,105.3499984741211,6160.75,4.113999843597412,-1.6649999618530271,140.0218313,20.0306398,0.0004435401933733
978708172,STAR,F5,65.0199966430664,6433.43994140625,4.119999885559082,-0.238999992609024,80.429826,40.407502,1.8646200260263868e-05
980415131,STAR,F7,66.98999786376953,6262.0400390625,4.214000225067139,-0.1490000039339065,67.2108704,20.3303024,-0.0001879299961728
977815186,STAR,F7,144.2899932861328,6105.89013671875,4.126999855041504,-0.2070000022649765,131.797203,18.2730112,2.975390088977292e-05
975505248,STAR,F5,36.90999984741211,5922.580078125,4.163000106811523,-1.256999969482422,197.8326594,-3.4217598,0.0004645547014661
